Critical Infrastructure Bridges Analysis:

Total Critical Bridges Identified: 733
Poor Condition Critical Bridges: 72

Detailed List of Critical Bridges:
BIN, Feature Carried, Feature Crossed, Year Built, Last Inspection, Poor Condition, Reason
1073281,27  27 07051184,LAKELAND AVENUE,1998,01/26/2018,No,Significant Feature
1050440,981M981M86011010,CSXT RIVER LINE,1998,07/27/2019,No,Significant Feature
3330220,COUNTY ROAD 7D,TRIB CUBA LAKE,1997,09/23/2019,No,Significant Feature
3304000,MUITZESKILL ROAD,CSX TRANSPRTATION,1997,03/18/2019,No,Significant Feature
3305510,CR 16, EAST RIVER DRIVE,HUDSON RIVER,1997,06/12/2017,No,Significant Feature
3304230,CR 1, STONY CREEK ROAD,WOLF CREEK,1997,07/17/2019,No,Major Route
1045240,NY State Route 299,87IX,1997,09/18/2019,No,Major Route
4005580,9   9 11082101,MOHAWK RIVER,1996,10/22/2018,No,Significant Feature
1020480,28N 28N12021063,HUDSON RIVER,1996,05/24/2018,No,Significant Feature
1026300,50  50 16011008,CSX TRANS/ AMTRAK,1996,10/07/2019,No,Significant Feature
3322020,ABBOTTS ROAD,TRIB OF CUBA LAKE,1995,07/18/2019,No,Significant Feature
5523150,ALLEGANY ST PK 2,RED HOUSE BROOK,1995,11/13/2019,No,Major Route
1001980,5   5 31071054,FINGER LAKES RAILROAD,1995,06/27/2019,No,Significant Feature
1005420,9   9 81063000,CSX TRANSPRTATION,1995,06/05/2018,No,Significant Feature
1005350,9   9 82053003,ABANDONED CSX RAILROAD,1995,05/22/2018,No,Significant Feature
2260640,TIFFT STREET,CSX TRANS/AMTRAK,1995,09/28/2018,No,Significant Feature
1020320,28  28 22091384,LAKE ABANKEE,1995,11/07/2018,No,Significant Feature
2268740,RD TO PRIV LANDS,ROUND LAKE OUTLET,1995,09/18/2019,No,Significant Feature
502761B,87IX  NB TO I-287,87IX,1995,08/02/2019,No,Major Route
1027570,58  58 75011417,BLACK LAKE N CHAN,1995,05/14/2019,No,Significant Feature
2200460,470  470 11012019,W BR MOHAWK RIVER,1994,06/21/2018,No,Significant Feature
3336930,COLLEGE AVENUE,LAKE TITUS STREAM,1994,11/15/2018,No,Significant Feature
1007990,10  10 21041176,PINE LAKE OUTLET,1994,07/24/2018,No,Significant Feature
1030080,NY 77 ALLEGHANY RD,90IX,1994,03/20/2019,No,Major Route
1051760,291  12C26012030,CSX TRANS/AMTRAK,1994,08/27/2018,No,Significant Feature
1008550,11  11 34041024,CSX TRANSPRTATION,1994,07/17/2018,No,Significant Feature
1008570,11  11 34041132,CSX TRANSPRTATION,1994,07/09/2018,No,Significant Feature
1027560,58  58 75011411,BLACK LAKE S CHAN,1994,05/14/2019,No,Significant Feature
2034240,88  88 37021035,CSX TRANS/AMTRAK,1994,07/28/2019,No,Significant Feature
2226190,7 X,DELAWARE & HUDSON RAILROAD MP# 615.26,1993,06/06/2019,No,Significant Feature
3714270,OAKLAND ROAD,CSX TRANS/AMTRAK,1993,08/25/2019,No,Significant Feature
3325750,MUNGER ROAD,BEAR LAKE OUTLET,1993,07/24/2019,No,Significant Feature
3342740,COUNTY ROAD 32,WHALEY LAKE STREAM,1993,04/09/2019,No,Significant Feature
1042340,NY 237 BYRON STAFFORD RD,90IX,1993,04/23/2018,No,Major Route
1022980,NY 33 CLINTON STREET RD,90IX,1993,04/09/2019,No,Major Route
1043340,NY 386 CHILI SCOTTSVILLE RD,90IX,1993,03/21/2019,No,Major Route
1030980,80  80 25061075,CSX TRANS/AMTRAK,1993,09/07/2019,No,Significant Feature
1018880,26  26 26053094,W BR MOHAWK RIVER,1993,10/23/2019,No,Significant Feature
3368290,COUNTY ROAD 27,HUDSON RIVER,1993,05/20/2019,No,Significant Feature
3366640,OLD US ROUTE 11,BOLAND CREEK,1993,08/22/2019,No,Major Route
2257760,COUNTY ROAD 344,CSX TRANS/AMTRAK,1993,07/28/2019,No,Significant Feature
3324820,ALLEGHANY ROAD,TRIB SILVER CREEK,1992,10/16/2018,No,Major Route
2263810,OVERHEAD BRDGE RD,CSX/AMTRAK (&NSRR),1992,10/29/2018,No,Significant Feature
1074920,78  78 53021234,N RAILROAD DITCH,1992,11/15/2019,No,Significant Feature
1074910,78  78 53021234,S RAILROAD DITCH,1992,11/15/2019,No,Significant Feature
1020270,28  28 22091014,FOURTH LAKE ESTUR,1992,08/10/2018,No,Significant Feature
1021220,30  30 22061385,LEWEY LAKE OUTLET,1992,12/03/2018,No,Significant Feature
2227860,PONY FARM ROAD,OTEGO CREEK,1992,08/14/2018,No,Major Route
3346030,MOUNTAIN VIEW AVE,CSX TRANS/RIVR LN,1992,04/30/2018,No,Significant Feature
1074680,230 230 63021005,INLET WANETA LAKE,1992,07/29/2019,No,Significant Feature
3346640,ALBANY POST ROAD,SHAWANGUNK KILL,1992,10/15/2019,No,Major Route
2257750,HOGBACK ROAD,CSX TRANS/AMTRAK,1992,04/19/2018,No,Significant Feature
2219470,CHERRY STREET,KEUKA LAKE OUTLET,1992,04/11/2018,No,Significant Feature
1022420,32  32 11041150,CSX TRANSPRTATION,1991,11/13/2018,No,Significant Feature
5511610,ALLEGANY ST PRK 3,QUAKER RUN,1991,08/20/2019,No,Major Route
3047100,COUNTY ROAD 380,TB BEAR LAKE CRK,1991,05/08/2019,No,Significant Feature
1041340,292 292 82021058,WHALEY LAKE STREAM,1991,09/17/2019,No,Significant Feature
3336870,MAIN STREET,LAKE FLOWER OUTLT,1991,04/10/2018,No,Significant Feature
1035730,NY 98 OAK ORCHARD RD,90IX,1991,04/09/2019,No,Major Route
1022970,33  33 41023015,CSX TRANS/AMTRAK,1991,08/01/2018,No,Significant Feature
1011620,NY 15A E HENRIETTA RD,90IX,1991,09/13/2018,No,Major Route
1074460,RIVER ST/ NY 922E,CSX TRANS/AMTRAK,1991,10/02/2019,No,Major Route, Significant Feature
1025750,46  46 26023026,MOHAWK RIVER,1991,06/14/2019,No,Significant Feature
4426030,RIVER ST/ NY 922E,ERIE BARGE CANAL,1991,08/13/2019,No,Major Route
4426100,RIVER ST/ NY 922E,MOHAWK RIVER,1991,05/13/2019,No,Major Route, Significant Feature
3313180,VAN BUREN ROAD,CSX TRANS/AMTRAK,1991,06/05/2019,No,Significant Feature
3346340,EAST MAIN STREET,CSXT RIVER LINE,1991,05/10/2018,No,Significant Feature
1004239,890I  7 16071013,CSX TRANS/ AMTRAK,1991,10/21/2017,No,Significant Feature
3305030,GORDON ROAD,CSX TRANSPRTATION,1991,11/27/2019,No,Significant Feature
1047490,396 396 11011037,CSX TRANSPRTATION,1990,12/07/2019,No,Significant Feature
3323280,MILL STREET,LIME LAKE OUTLET,1990,04/08/2019,No,Significant Feature
1023350,34  34 31053074,CSX TRANS/AMTRAK,1990,06/07/2019,No,Significant Feature
3212460,TIFFANY AVE.,CHADAKOIN RIVER,1990,07/08/2019,No,Major Route
1005220,9   9 82051087,WAPPINGER LAKE,1990,05/15/2019,No,Significant Feature
